KPI_ID,NOM_KPI,DOMAINE,DATE_AAAA_MM,VALEUR_TAUX,STATUT,BASELINE_TOP,BASELINE_BOTTOM
SNAV003,Taux de disponibilité du DAM BO CNP,TECHNIQUE,2022-05,100.00%,VERT,99.50%,99.00%
SNAV004,Taux de disponibilité du DAM FO CNP,TECHNIQUE,2022-05,99.79%,VERT,99.50%,99.00%
SNAV001,Taux de disponibilité du DAM BO Groupe,Ecom,2022-05,100.00%,VERT,99.50%,99.00%
SNAV002,Taux de disponibilité du DAM FO Groupe,Ecom,2022-05,99.79%,VERT,99.50%,99.00%
SNAV003,Taux de disponibilité du DAM BO CNP,Ecom,2022-05,100.00%,VERT,99.50%,99.00%
SNAV004,Taux de disponibilité du DAM FO CNP,Ecom,2022-05,99.79%,VERT,99.50%,99.00%
SNAV005,Taux de disponibilité Portail-Cognos-Principal,TECHNIQUE,2022-05,100.00%,VERT,99.50%,99.00%
SNAV006,Taux de disponibilité Portail-Cognos-Galileo,TECHNIQUE,2022-05,100.00%,VERT,99.50%,99.00%
SNAV007,Taux de disponibilité Portail-Cognos-Pushmail,TECHNIQUE,2022-05,100.00%,VERT,99.50%,99.00%
SNAV008,Taux de disponibilité MS Dynamics Europe,TECHNIQUE,2022-05,100.00%,VERT,99.00%,99.00%
SNAV010,Taux de disponibilité de Plume,TECHNIQUE,2022-05,100.00%,VERT,99.50%,99.00%
