KPI_ID,NOM_KPI,DOMAINE,DATE_AAAA_MM,VALEUR_TAUX,STATUT,BASELINE_TOP,BASELINE_BOTTOM
SNAV011,Taux de disponibilité WCS Savoye,TECHNIQUE,2022-05,100.00%,VERT,99.50%,99.00%
SNAV011,Taux de disponibilité WCS Savoye,LOGISTIQUE,2022-05,100.00%,VERT,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,SERVICE AUX CLIENTS,2022-05,100.00%,VERT,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,TECHNIQUE,2022-05,100.00%,VERT,99.50%,99.00%
SNAV012,Taux de disponibilité StreamServe,LOGISTIQUE,2022-05,100.00%,VERT,99.50%,99.00%
SNAV013,Taux de disponibilité M3 CNP,TECHNIQUE,2022-05,99.12%,ROUGE,99.50%,99.00%
SNAV014,Taux de disponibilité M3 Europe,TECHNIQUE,2022-05,99.12%,ROUGE,99.50%,99.00%
SNAV015,Taux de disponibilité M3 USA,TECHNIQUE,2022-05,100.00%,VERT,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,TECHNIQUE,2022-05,100.00%,VERT,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,HDE,2022-05,100.00%,VERT,99.50%,99.00%
SNAV016,Taux de disponibilité Y2 Europe,HDF,2022-05,100.00%,VERT,99.50%,99.00%
